[{'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=1', 'sparsity': 1, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=2', 'sparsity': 2, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=4', 'sparsity': 4, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=8', 'sparsity': 8, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=16', 'sparsity': 16, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml', 'name': 'id=supsup~seed=0~sparsity=32', 'sparsity': 32, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_5', 'epochs': 250, 'data': './data'}]
=> Reading YAML config from experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_5.yaml
=> Saving data in runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
Files already downloaded and verified
Files already downloaded and verified
[26 86  2 55 75 93 16 73 54 95 53 92 78 13  7 30 22 24 33  8 43 62  3 71
 45 48  6 99 82 76 60 80 90 68 51 27 18 56 63 74  1 61 42 41  4 15 17 40
 38  5 91 59  0 34 28 50 11 35 23 52 10 31 66 57 79 85 32 84 14 89 19 29
 49 97 98 69 20 94 72 77 25 37 81 46 39 65 58 12 88 70 87 36 21 83  9 96
 67 64 47 44]
[26 86  2 55 75]
[93 16 73 54 95]
[53 92 78 13  7]
[30 22 24 33  8]
[43 62  3 71 45]
Set sparsity of conv1 to 0.04259259259259259
Set sparsity of layer1.0.conv1 to 0.011111111111111112
Set sparsity of layer1.0.conv2 to 0.011111111111111112
Set sparsity of layer1.1.conv1 to 0.011111111111111112
Set sparsity of layer1.1.conv2 to 0.011111111111111112
Set sparsity of layer2.0.conv1 to 0.008333333333333333
Set sparsity of layer2.0.conv2 to 0.005555555555555556
Set sparsity of layer2.0.shortcut.0 to 0.075
Set sparsity of layer2.1.conv1 to 0.005555555555555556
Set sparsity of layer2.1.conv2 to 0.005555555555555556
Set sparsity of layer3.0.conv1 to 0.004166666666666667
Set sparsity of layer3.0.conv2 to 0.002777777777777778
Set sparsity of layer3.0.shortcut.0 to 0.0375
Set sparsity of layer3.1.conv1 to 0.002777777777777778
Set sparsity of layer3.1.conv2 to 0.002777777777777778
Set sparsity of layer4.0.conv1 to 0.0020833333333333333
Set sparsity of layer4.0.conv2 to 0.001388888888888889
Set sparsity of layer4.0.shortcut.0 to 0.01875
Set sparsity of layer4.1.conv1 to 0.001388888888888889
Set sparsity of layer4.1.conv2 to 0.001388888888888889
Set sparsity of linear to 0.20625
=> Parallelizing on [0] gpus
=> Using trainer <module 'trainers.default' from '/home/at2507/supsup_team/supsup/trainers/default.py'>
Train Epoch: 237 [0/2500 (0%)]	Loss: 0.685663
Train Epoch: 237 [1280/2500 (50%)]	Loss: 0.721125

Test set: Average loss: 0.7697, Accuracy: (0.7160)

Train Epoch: 238 [0/2500 (0%)]	Loss: 0.726773
Train Epoch: 238 [1280/2500 (50%)]	Loss: 0.816804

Test set: Average loss: 0.7573, Accuracy: (0.7040)

Train Epoch: 239 [0/2500 (0%)]	Loss: 0.656085
Train Epoch: 239 [1280/2500 (50%)]	Loss: 0.712886

Test set: Average loss: 0.7922, Accuracy: (0.7080)

Train Epoch: 240 [0/2500 (0%)]	Loss: 0.717623
Train Epoch: 240 [1280/2500 (50%)]	Loss: 0.740341

Test set: Average loss: 0.7749, Accuracy: (0.6960)

Train Epoch: 241 [0/2500 (0%)]	Loss: 0.723041
Train Epoch: 241 [1280/2500 (50%)]	Loss: 0.736730

Test set: Average loss: 0.7625, Accuracy: (0.7120)

Train Epoch: 242 [0/2500 (0%)]	Loss: 0.659213
Train Epoch: 242 [1280/2500 (50%)]	Loss: 0.555162

Test set: Average loss: 0.7531, Accuracy: (0.7240)

Train Epoch: 243 [0/2500 (0%)]	Loss: 0.738385
Train Epoch: 243 [1280/2500 (50%)]	Loss: 0.624726

Test set: Average loss: 0.7519, Accuracy: (0.7040)

Train Epoch: 244 [0/2500 (0%)]	Loss: 0.569739
Train Epoch: 244 [1280/2500 (50%)]	Loss: 0.666380

Test set: Average loss: 0.7798, Accuracy: (0.6980)

Train Epoch: 245 [0/2500 (0%)]	Loss: 0.605240
Train Epoch: 245 [1280/2500 (50%)]	Loss: 0.566794

Test set: Average loss: 0.7804, Accuracy: (0.6920)

Train Epoch: 246 [0/2500 (0%)]	Loss: 0.808687
Train Epoch: 246 [1280/2500 (50%)]	Loss: 0.649781

Test set: Average loss: 0.7670, Accuracy: (0.6840)

Train Epoch: 247 [0/2500 (0%)]	Loss: 0.612092
Train Epoch: 247 [1280/2500 (50%)]	Loss: 0.749771

Test set: Average loss: 0.7648, Accuracy: (0.7180)

Train Epoch: 248 [0/2500 (0%)]	Loss: 0.611979
Train Epoch: 248 [1280/2500 (50%)]	Loss: 0.628873

Test set: Average loss: 0.7538, Accuracy: (0.7140)

Train Epoch: 249 [0/2500 (0%)]	Loss: 0.723123
Train Epoch: 249 [1280/2500 (50%)]	Loss: 0.647664

Test set: Average loss: 0.7236, Accuracy: (0.7300)

Train Epoch: 250 [0/2500 (0%)]	Loss: 0.603694
Train Epoch: 250 [1280/2500 (50%)]	Loss: 0.575519

Test set: Average loss: 0.7543, Accuracy: (0.7040)

Task RandSplitCIFAR100: 1
Train Epoch: 1 [0/2500 (0%)]	Loss: 1.679289
Train Epoch: 1 [1280/2500 (50%)]	Loss: 1.419755

Test set: Average loss: 1.2712, Accuracy: (0.4220)

Train Epoch: 2 [0/2500 (0%)]	Loss: 1.164498
Train Epoch: 2 [1280/2500 (50%)]	Loss: 1.296177

Test set: Average loss: 1.1848, Accuracy: (0.5020)

Train Epoch: 3 [0/2500 (0%)]	Loss: 1.071555
Train Epoch: 3 [1280/2500 (50%)]	Loss: 1.168908

Test set: Average loss: 1.1594, Accuracy: (0.5020)

Train Epoch: 4 [0/2500 (0%)]	Loss: 1.180842
Train Epoch: 4 [1280/2500 (50%)]	Loss: 1.081426

Test set: Average loss: 1.1004, Accuracy: (0.5420)

Train Epoch: 5 [0/2500 (0%)]	Loss: 1.138343
Train Epoch: 5 [1280/2500 (50%)]	Loss: 1.019686

Test set: Average loss: 1.0691, Accuracy: (0.5480)

Train Epoch: 6 [0/2500 (0%)]	Loss: 1.030915
Train Epoch: 6 [1280/2500 (50%)]	Loss: 1.047319

Test set: Average loss: 1.0714, Accuracy: (0.5380)

Train Epoch: 7 [0/2500 (0%)]	Loss: 1.042235
Train Epoch: 7 [1280/2500 (50%)]	Loss: 0.994329

Test set: Average loss: 1.0781, Accuracy: (0.5520)

Train Epoch: 8 [0/2500 (0%)]	Loss: 0.991541
Train Epoch: 8 [1280/2500 (50%)]	Loss: 1.105851

Test set: Average loss: 0.9994, Accuracy: (0.5960)

Train Epoch: 9 [0/2500 (0%)]	Loss: 0.829699
Train Epoch: 9 [1280/2500 (50%)]	Loss: 0.952995

Test set: Average loss: 1.0824, Accuracy: (0.5560)

Train Epoch: 10 [0/2500 (0%)]	Loss: 1.033070
Train Epoch: 10 [1280/2500 (50%)]	Loss: 1.007334

Test set: Average loss: 1.0100, Accuracy: (0.5940)

Train Epoch: 11 [0/2500 (0%)]	Loss: 0.929490
Train Epoch: 11 [1280/2500 (50%)]	Loss: 0.955512

Test set: Average loss: 1.0221, Accuracy: (0.5820)

Train Epoch: 12 [0/2500 (0%)]	Loss: 1.050617
Train Epoch: 12 [1280/2500 (50%)]	Loss: 1.006445

Test set: Average loss: 1.0360, Accuracy: (0.5660)

Train Epoch: 13 [0/2500 (0%)]	Loss: 0.974402
Train Epoch: 13 [1280/2500 (50%)]	Loss: 1.121935

Test set: Average loss: 1.1240, Accuracy: (0.5300)

Train Epoch: 14 [0/2500 (0%)]	Loss: 1.000624
Train Epoch: 14 [1280/2500 (50%)]	Loss: 1.041934

Test set: Average loss: 0.9662, Accuracy: (0.6040)

Train Epoch: 15 [0/2500 (0%)]	Loss: 0.943053
Train Epoch: 15 [1280/2500 (50%)]	Loss: 0.975688

Test set: Average loss: 0.9966, Accuracy: (0.5940)

Train Epoch: 16 [0/2500 (0%)]	Loss: 0.993392
Train Epoch: 16 [1280/2500 (50%)]	Loss: 0.912057

Test set: Average loss: 0.9750, Accuracy: (0.6160)

Train Epoch: 17 [0/2500 (0%)]	Loss: 0.948017
Train Epoch: 17 [1280/2500 (50%)]	Loss: 1.043337

Test set: Average loss: 1.0040, Accuracy: (0.5900)

Train Epoch: 18 [0/2500 (0%)]	Loss: 0.938618
Train Epoch: 18 [1280/2500 (50%)]	Loss: 0.990253

Test set: Average loss: 0.9846, Accuracy: (0.6060)

Train Epoch: 19 [0/2500 (0%)]	Loss: 0.984176
Train Epoch: 19 [1280/2500 (50%)]	Loss: 1.009151

Test set: Average loss: 0.9763, Accuracy: (0.6100)

Train Epoch: 20 [0/2500 (0%)]	Loss: 0.856602
Train Epoch: 20 [1280/2500 (50%)]	Loss: 0.887271

Test set: Average loss: 0.9150, Accuracy: (0.6440)

Train Epoch: 21 [0/2500 (0%)]	Loss: 0.990607
Train Epoch: 21 [1280/2500 (50%)]	Loss: 0.847237

Test set: Average loss: 0.9217, Accuracy: (0.6360)

Train Epoch: 22 [0/2500 (0%)]	Loss: 0.803886
Train Epoch: 22 [1280/2500 (50%)]	Loss: 0.946740

Test set: Average loss: 0.9342, Accuracy: (0.6040)

Train Epoch: 23 [0/2500 (0%)]	Loss: 0.925038
Train Epoch: 23 [1280/2500 (50%)]	Loss: 0.917173

Test set: Average loss: 0.8540, Accuracy: (0.6440)

Train Epoch: 24 [0/2500 (0%)]	Loss: 0.857509
Train Epoch: 24 [1280/2500 (50%)]	Loss: 0.880021

Test set: Average loss: 0.9058, Accuracy: (0.6440)

Train Epoch: 25 [0/2500 (0%)]	Loss: 0.807261
Train Epoch: 25 [1280/2500 (50%)]	Loss: 0.958499

Test set: Average loss: 0.8683, Accuracy: (0.6360)

Train Epoch: 26 [0/2500 (0%)]	Loss: 0.849605
Train Epoch: 26 [1280/2500 (50%)]	Loss: 0.921532

Test set: Average loss: 0.8808, Accuracy: (0.6400)

Train Epoch: 27 [0/2500 (0%)]	Loss: 0.884571
Train Epoch: 27 [1280/2500 (50%)]	Loss: 0.845252

Test set: Average loss: 0.8747, Accuracy: (0.6540)

Train Epoch: 28 [0/2500 (0%)]	Loss: 0.654415
Train Epoch: 28 [1280/2500 (50%)]	Loss: 0.794953

Test set: Average loss: 0.8817, Accuracy: (0.6380)

Train Epoch: 29 [0/2500 (0%)]	Loss: 0.726858
Train Epoch: 29 [1280/2500 (50%)]	Loss: 0.762535

Test set: Average loss: 0.8946, Accuracy: (0.6320)

Train Epoch: 30 [0/2500 (0%)]	Loss: 0.752121
Train Epoch: 30 [1280/2500 (50%)]	Loss: 0.943804

Test set: Average loss: 0.8860, Accuracy: (0.6480)

Train Epoch: 31 [0/2500 (0%)]	Loss: 0.834989
Train Epoch: 31 [1280/2500 (50%)]	Loss: 0.847004

Test set: Average loss: 0.8873, Accuracy: (0.6420)

Train Epoch: 32 [0/2500 (0%)]	Loss: 0.798226
Train Epoch: 32 [1280/2500 (50%)]	Loss: 0.915112

Test set: Average loss: 0.8696, Accuracy: (0.6540)

Train Epoch: 33 [0/2500 (0%)]	Loss: 0.833270
Train Epoch: 33 [1280/2500 (50%)]	Loss: 0.812292

Test set: Average loss: 0.8605, Accuracy: (0.6680)

Train Epoch: 34 [0/2500 (0%)]	Loss: 0.755410
Train Epoch: 34 [1280/2500 (50%)]	Loss: 0.852083

Test set: Average loss: 0.9431, Accuracy: (0.6400)

Train Epoch: 35 [0/2500 (0%)]	Loss: 0.886869
Train Epoch: 35 [1280/2500 (50%)]	Loss: 0.974125

Test set: Average loss: 0.8703, Accuracy: (0.6500)

Train Epoch: 36 [0/2500 (0%)]	Loss: 0.791090
Train Epoch: 36 [1280/2500 (50%)]	Loss: 0.912732

Test set: Average loss: 0.8396, Accuracy: (0.6760)

Train Epoch: 37 [0/2500 (0%)]	Loss: 0.888729
Train Epoch: 37 [1280/2500 (50%)]	Loss: 0.779253

Test set: Average loss: 0.8552, Accuracy: (0.6660)

Train Epoch: 38 [0/2500 (0%)]	Loss: 0.890702
Train Epoch: 38 [1280/2500 (50%)]	Loss: 0.818402

Test set: Average loss: 0.8933, Accuracy: (0.6560)

Train Epoch: 39 [0/2500 (0%)]	Loss: 0.675902
Train Epoch: 39 [1280/2500 (50%)]	Loss: 0.841485

Test set: Average loss: 0.8516, Accuracy: (0.6500)

Train Epoch: 40 [0/2500 (0%)]	Loss: 0.915097
Train Epoch: 40 [1280/2500 (50%)]	Loss: 0.779539

Test set: Average loss: 0.8649, Accuracy: (0.6440)

Train Epoch: 41 [0/2500 (0%)]	Loss: 0.684370
Train Epoch: 41 [1280/2500 (50%)]	Loss: 0.743323

Test set: Average loss: 0.9064, Accuracy: (0.6220)

Train Epoch: 42 [0/2500 (0%)]	Loss: 0.781349
Train Epoch: 42 [1280/2500 (50%)]	Loss: 0.759887

Test set: Average loss: 0.8861, Accuracy: (0.6580)

Train Epoch: 43 [0/2500 (0%)]	Loss: 0.755545
Train Epoch: 43 [1280/2500 (50%)]	Loss: 0.823706

Test set: Average loss: 0.8946, Accuracy: (0.6500)

Train Epoch: 44 [0/2500 (0%)]	Loss: 0.802285
Train Epoch: 44 [1280/2500 (50%)]	Loss: 0.696485

Test set: Average loss: 0.8597, Accuracy: (0.6500)

Train Epoch: 45 [0/2500 (0%)]	Loss: 0.828838
Train Epoch: 45 [1280/2500 (50%)]	Loss: 0.725858

Test set: Average loss: 0.8309, Accuracy: (0.6740)

Train Epoch: 46 [0/2500 (0%)]	Loss: 0.779151
Train Epoch: 46 [1280/2500 (50%)]	Loss: 0.890846

Test set: Average loss: 0.8439, Accuracy: (0.6700)

Train Epoch: 47 [0/2500 (0%)]	Loss: 0.855076
Train Epoch: 47 [1280/2500 (50%)]	Loss: 0.806804

Test set: Average loss: 0.8626, Accuracy: (0.6660)

Train Epoch: 48 [0/2500 (0%)]	Loss: 0.783021
Train Epoch: 48 [1280/2500 (50%)]	Loss: 0.761898

Test set: Average loss: 0.8567, Accuracy: (0.6740)

Train Epoch: 49 [0/2500 (0%)]	Loss: 0.818213
Train Epoch: 49 [1280/2500 (50%)]	Loss: 0.852235

Test set: Average loss: 0.8532, Accuracy: (0.6840)

Train Epoch: 50 [0/2500 (0%)]	Loss: 0.675928
Train Epoch: 50 [1280/2500 (50%)]	Loss: 0.698731

Test set: Average loss: 0.8382, Accuracy: (0.6680)

Train Epoch: 51 [0/2500 (0%)]	Loss: 0.727917
Train Epoch: 51 [1280/2500 (50%)]	Loss: 0.865635

Test set: Average loss: 0.8672, Accuracy: (0.6440)

Train Epoch: 52 [0/2500 (0%)]	Loss: 0.762626
Train Epoch: 52 [1280/2500 (50%)]	Loss: 0.687724

Test set: Average loss: 0.8695, Accuracy: (0.6620)

Train Epoch: 53 [0/2500 (0%)]	Loss: 0.658216
Train Epoch: 53 [1280/2500 (50%)]	Loss: 0.782750

Test set: Average loss: 0.8100, Accuracy: (0.6700)

Train Epoch: 54 [0/2500 (0%)]	Loss: 0.775203
Train Epoch: 54 [1280/2500 (50%)]	Loss: 0.878344

Test set: Average loss: 0.8818, Accuracy: (0.6680)

Train Epoch: 55 [0/2500 (0%)]	Loss: 0.822146
Train Epoch: 55 [1280/2500 (50%)]	Loss: 0.677157

Test set: Average loss: 0.8613, Accuracy: (0.6560)

Train Epoch: 56 [0/2500 (0%)]	Loss: 0.690552
Train Epoch: 56 [1280/2500 (50%)]	Loss: 0.833800

Test set: Average loss: 0.8476, Accuracy: (0.6680)

Train Epoch: 57 [0/2500 (0%)]	Loss: 0.739157
Train Epoch: 57 [1280/2500 (50%)]	Loss: 0.715418

Test set: Average loss: 0.8803, Accuracy: (0.6300)

Train Epoch: 58 [0/2500 (0%)]	Loss: 0.685288
Train Epoch: 58 [1280/2500 (50%)]	Loss: 0.832942

Test set: Average loss: 0.8589, Accuracy: (0.6420)

Train Epoch: 59 [0/2500 (0%)]	Loss: 0.830455
Train Epoch: 59 [1280/2500 (50%)]	Loss: 0.749996

Test set: Average loss: 0.7856, Accuracy: (0.7040)

Train Epoch: 60 [0/2500 (0%)]	Loss: 0.825926
Train Epoch: 60 [1280/2500 (50%)]	Loss: 0.878717

Test set: Average loss: 0.8749, Accuracy: (0.6620)

Train Epoch: 61 [0/2500 (0%)]	Loss: 0.827667
Train Epoch: 61 [1280/2500 (50%)]	Loss: 0.609202

Test set: Average loss: 0.8441, Accuracy: (0.6620)

Train Epoch: 62 [0/2500 (0%)]	Loss: 0.709156
Train Epoch: 62 [1280/2500 (50%)]	Loss: 0.790943

Test set: Average loss: 0.8238, Accuracy: (0.6640)

Train Epoch: 63 [0/2500 (0%)]	Loss: 0.666315
Train Epoch: 63 [1280/2500 (50%)]	Loss: 0.940248
